"Data","Ostatnio","Otwarcie","Max.","Min.","Wol.","Zmiana%"
"04.04.2023","108,44","109,60","110,00","108,00","292,13K","0,35%"
"03.04.2023","108,06","110,94","110,94","106,44","603,62K","-2,84%"
"31.03.2023","111,22","120,00","124,32","111,22","1,58M","-1,82%"
"30.03.2023","113,28","110,22","114,70","109,90","751,78K","2,81%"
"29.03.2023","110,18","110,00","110,84","105,96","470,41K","1,08%"
"28.03.2023","109,00","114,76","114,76","108,90","593,25K","-4,44%"
"27.03.2023","114,06","111,50","114,30","110,60","355,49K","3,13%"
"24.03.2023","110,60","110,00","113,20","109,52","635,85K","0,55%"
"23.03.2023","110,00","112,22","113,18","109,22","885,63K","-2,46%"
"22.03.2023","112,78","115,44","116,40","112,32","793,65K","-3,16%"
"21.03.2023","116,46","126,88","127,70","115,00","1,28M","-10,91%"
"20.03.2023","130,72","129,92","132,28","128,86","192,23K","-0,21%"
"17.03.2023","131,00","135,20","136,30","130,28","530,35K","-3,25%"
"16.03.2023","135,40","131,50","135,40","130,02","365,86K","4,67%"
"15.03.2023","129,36","130,00","132,52","128,90","257,20K","-0,49%"
"14.03.2023","130,00","127,04","132,40","127,04","412,44K","2,30%"
"13.03.2023","127,08","128,72","129,88","122,82","412,41K","-1,26%"
"10.03.2023","128,70","130,90","131,20","127,62","187,72K","-2,63%"
"09.03.2023","132,18","132,00","133,78","131,46","134,13K","-0,06%"
"08.03.2023","132,26","134,68","134,68","131,46","125,97K","-0,90%"
"07.03.2023","133,46","132,50","134,80","131,40","169,15K","0,95%"
"06.03.2023","132,20","132,00","132,50","130,20","177,40K","1,18%"
"03.03.2023","130,66","132,00","133,50","129,76","235,16K","-0,11%"
"02.03.2023","130,80","132,00","132,30","129,48","201,94K","-1,10%"
"01.03.2023","132,26","133,86","135,60","131,90","203,94K","-0,11%"
"28.02.2023","132,40","132,12","133,80","130,78","207,58K","0,21%"
"27.02.2023","132,12","130,00","133,04","129,38","133,39K","2,01%"
"24.02.2023","129,52","134,14","134,14","129,46","170,55K","-3,70%"
"23.02.2023","134,50","132,06","135,86","132,06","167,81K","1,94%"
"22.02.2023","131,94","131,20","132,56","129,16","187,69K","0,55%"
"21.02.2023","131,22","136,00","136,00","131,22","352,52K","-3,76%"
"20.02.2023","136,34","136,24","137,74","135,10","91,63K","0,38%"
"17.02.2023","135,82","139,00","139,22","135,82","201,95K","-2,65%"
"16.02.2023","139,52","139,16","140,64","136,82","145,15K","0,81%"
"15.02.2023","138,40","133,70","138,50","133,36","126,87K","3,10%"
"14.02.2023","134,24","140,50","142,98","133,80","286,18K","-3,35%"
"13.02.2023","138,90","139,60","140,38","137,00","334,40K","0,19%"
"10.02.2023","138,64","140,68","141,10","136,18","795,94K","-2,01%"
"09.02.2023","141,48","143,00","143,66","141,14","143,71K","-0,16%"
"08.02.2023","141,70","142,56","145,40","141,52","185,10K","0,30%"
"07.02.2023","141,28","141,98","141,98","136,02","324,22K","-0,90%"
"06.02.2023","142,56","145,60","145,94","141,32","263,53K","-2,89%"
"03.02.2023","146,80","146,98","148,42","144,60","471,93K","0,70%"
"02.02.2023","145,78","141,50","148,10","140,14","574,70K","5,42%"
"01.02.2023","138,28","139,50","141,84","137,36","353,20K","-0,75%"
"31.01.2023","139,32","134,24","140,32","133,00","674,47K","4,91%"
"30.01.2023","132,80","133,50","134,00","131,20","321,85K","-0,82%"
"27.01.2023","133,90","135,00","136,42","133,40","123,92K","-0,56%"
"26.01.2023","134,66","133,36","135,60","132,54","142,43K","2,39%"
"25.01.2023","131,52","133,00","133,38","131,00","131,58K","-1,79%"
"24.01.2023","133,92","135,20","137,28","132,90","225,86K","-1,31%"
"23.01.2023","135,70","132,54","135,98","132,54","258,89K","2,40%"
"20.01.2023","132,52","132,90","134,42","131,60","191,74K","0,02%"
"19.01.2023","132,50","131,18","134,48","130,12","299,00K","-0,59%"
"18.01.2023","133,28","129,22","134,80","129,22","327,12K","3,00%"
"17.01.2023","129,40","129,00","131,16","127,24","246,42K","0,45%"
"16.01.2023","128,82","133,00","133,40","128,82","280,50K","-2,51%"
"13.01.2023","132,14","130,20","134,20","130,08","289,52K","1,69%"
